128	1.2	0
-3.141593	2.404280	-0.174044
0.000000	0.000000	0.000000
11as.receptor_m.pdb	-1.504	-1.216	2.269
11as.ligand_m.pdb	1.504	5.862	-6.575
1.832596	2.073035	2.027405	4	108	112	2003.633
-2.094395	2.041297	-2.664597	112	101	113	1554.960
1.047198	0.700570	1.559208	13	100	107	1262.767
1.570796	2.138223	1.678323	4	104	114	1219.164
2.356194	2.478122	2.609777	111	117	101	1207.655
-3.141593	2.033014	2.977192	114	116	102	1163.406
1.570796	1.766067	2.153843	1	112	106	1157.961
0.000000	2.724429	-0.348782	20	102	119	1142.338
2.879793	1.869911	2.701025	116	120	99	1134.665
2.879793	2.174483	2.653697	116	111	104	1132.826
-1.570796	1.948085	-2.363031	113	99	115	1110.709
-2.617994	2.588535	-2.976617	109	106	106	1109.691
-2.356194	2.349581	-2.702517	113	102	110	1107.701
-3.141593	2.356369	3.005869	115	111	104	1094.892
-1.832596	2.251330	-2.330739	114	99	117	1094.001
-1.832596	1.741644	-2.695914	113	98	113	1060.586
0.000000	0.864993	2.278281	8	109	99	1059.425
-1.832596	1.050534	3.042579	0	125	103	1055.693
-2.094395	1.870545	-2.976234	110	99	110	1055.611
-1.047198	0.640596	-2.797608	8	96	119	1041.527
-2.617994	2.407836	1.410646	121	102	99	1040.242
-2.356194	2.164094	-2.991358	110	106	104	1039.947
2.617994	2.478122	2.609777	114	110	106	1038.254
-2.879793	2.588535	-2.976617	107	110	106	1035.937
-0.523599	1.658653	-2.409879	123	95	119	1034.078
1.832596	2.138223	1.678323	6	103	113	1022.438
-1.308997	1.869911	2.701025	127	6	102	1011.008
-1.832596	1.658653	-2.409879	108	100	116	1008.950
2.094395	1.875281	0.107086	127	101	100	1001.980
0.785398	2.592629	0.909713	123	99	105	995.187
2.617994	1.214854	-1.966664	108	25	1	978.812
0.261799	1.506530	1.988858	100	110	113	976.143
-3.141593	2.587733	0.232235	126	97	103	975.859
-1.047198	0.929350	-2.910676	6	96	114	968.605
